amount,time,location,device,frequency,amount_ratio,is_new_location,is_new_device,is_fraud
4898,3,Delhi,Android,9,1.8365204349456319,1,1,0
42860,2,Delhi,iOS,10,0.8897654141581898,0,1,0
41879,9,Mumbai,Web,6,0.8480792207529212,0,1,0
13173,3,Kolkata,iOS,4,0.31977957955041997,0,0,0
41682,5,Kolkata,iOS,1,1.9509478118417973,0,1,0
55193,5,Mumbai,Web,8,1.1626187517114992,0,0,0
29151,0,Mumbai,Android,5,0.7364153088291019,0,0,0
22208,16,Kolkata,iOS,2,5.830401680231032,0,1,0
37322,2,Bangalore,Android,2,3.1237027117509206,0,1,0
58816,3,Kolkata,Android,1,1.2776920904568463,1,0,0
37130,15,Bangalore,iOS,1,2.4091616921879053,0,1,0
33847,22,Mumbai,iOS,1,6.250600184672207,1,0,1
27850,16,Kolkata,Web,4,14.565899581589958,0,1,1
5005,19,Kolkata,Android,3,0.12158386979229928,0,1,0
44465,19,Kolkata,Web,5,1.305566973985554,1,0,0
42375,1,Delhi,Web,6,0.8926878594451115,0,0,0
50193,1,Delhi,Android,4,1.2330311739995579,0,0,0
7648,14,Mumbai,iOS,6,1.4121122599704579,1,0,0
55014,4,Delhi,iOS,10,4.548867206879445,0,1,0
38751,16,Mumbai,Android,2,2.02927314620863,1,0,0
51986,21,Delhi,Web,2,2.0557576716229042,0,1,0
9920,1,Mumbai,Web,6,0.5452646622327268,0,1,0
41782,16,Delhi,iOS,2,1.1124660525054582,0,0,0
22656,0,Delhi,iOS,8,0.5927786499215071,0,0,0
15926,23,Mumbai,Android,1,0.3909372085031175,1,0,0
30977,22,Bangalore,iOS,7,0.9995482559452744,1,0,0
1983,9,Mumbai,iOS,7,0.14845036682138044,1,1,0
18656,13,Kolkata,Android,7,1.8648540583766493,0,1,0
6493,4,Kolkata,Web,10,0.199889172798079,0,0,0
9282,3,Mumbai,Web,4,0.8736,1,0,0
10668,5,Delhi,Android,3,1.396517868830999,0,1,0
21918,23,Bangalore,Web,2,0.7652932960893855,1,0,0
2739,16,Bangalore,Web,5,0.3146106133700896,1,0,0
55397,12,Bangalore,Web,8,1.5911819617980756,1,0,0
45371,21,Bangalore,iOS,7,1.318694413765041,1,1,0
49096,13,Delhi,iOS,6,1.326381196812103,1,0,0
42240,22,Bangalore,Web,9,5.253077975376197,1,0,1
54559,10,Delhi,Android,8,4.743435924187098,0,0,0
29767,20,Mumbai,Android,10,0.6884135060129509,0,1,0
19677,1,Kolkata,Android,2,0.4503673525440022,1,1,0
31463,18,Delhi,iOS,7,1.1757913225456855,0,1,0
58302,10,Bangalore,iOS,7,1.6101521721119059,1,1,0
56418,13,Mumbai,iOS,1,1.5298551982211617,0,1,0
10707,15,Kolkata,Android,1,0.3419783448848574,0,0,0
53758,14,Delhi,Web,2,1.2749134373665987,0,1,0
14286,21,Mumbai,Android,2,0.4000672099470722,0,1,0
36376,18,Bangalore,Web,9,1.8716748134808336,1,0,0
39297,23,Delhi,Android,4,9.679064039408868,0,1,1
46979,11,Kolkata,iOS,6,1.224910697989727,1,0,0
4713,3,Delhi,Web,8,1.0536552649228705,0,1,0
12515,0,Delhi,Web,1,0.6928527930022699,0,0,0
43973,6,Bangalore,Android,6,0.9728539823008849,0,1,0
38974,11,Mumbai,Web,3,3.1776600081532815,0,0,0
52630,4,Kolkata,iOS,3,10.158270604130477,0,1,1
49353,16,Mumbai,Android,3,1.0815673555258487,1,0,0
3302,7,Mumbai,iOS,5,0.19968553459119498,1,0,0
59207,10,Kolkata,Web,1,3.3793949771689498,0,1,0
31647,5,Delhi,Web,1,20.325626204238922,1,1,1
25814,6,Mumbai,Web,4,0.9763976095014751,1,1,0
20201,5,Bangalore,Android,3,0.5442226353080633,0,0,0
38478,15,Mumbai,Web,7,1.633399838689137,1,0,0
44294,11,Delhi,Web,2,4.812472837896567,1,1,0
31352,21,Bangalore,Web,10,0.6500518349574953,1,0,0
5569,5,Bangalore,iOS,5,0.12112841482512615,0,0,0
17350,0,Bangalore,iOS,9,0.35602889271936305,1,1,0
16523,1,Delhi,iOS,10,3.2021317829457363,0,0,0
39913,6,Mumbai,Android,4,1.0713173716985183,0,1,0
32536,15,Bangalore,iOS,6,1.361680756675316,0,1,0
39348,15,Mumbai,iOS,4,1.3365943136655456,1,1,0
46387,7,Mumbai,Android,9,1.3417117403754375,0,1,0
33568,22,Delhi,Web,3,1.0086538461538461,0,1,0
43206,4,Kolkata,Android,3,12.051882845188285,0,1,1
41185,21,Bangalore,Web,5,6.959276782696857,1,1,1
10721,15,Delhi,iOS,3,0.5593759782948973,0,0,0
46787,2,Kolkata,Android,6,2.9932186040560427,1,1,0
21844,23,Bangalore,Android,8,1.9561207128145428,0,1,1
53972,11,Mumbai,iOS,4,3.947052800936083,1,0,0
20767,1,Mumbai,iOS,6,0.8153834072794377,0,0,0
24172,12,Delhi,Android,4,1.9251353934374005,0,1,0
44227,11,Delhi,Web,1,1.411920572085302,1,1,0
52493,18,Delhi,iOS,1,1.6137292877125027,0,0,0
6838,8,Bangalore,Android,4,0.3428943937418514,1,0,0
17354,23,Delhi,Web,7,0.41546564519990425,0,1,1
2549,1,Bangalore,iOS,5,0.1724394533892572,0,1,0
6105,4,Kolkata,iOS,8,0.3863679513954813,0,1,0
59582,18,Mumbai,Web,6,2.2301991316065277,0,0,0
10608,21,Mumbai,iOS,8,0.22626538404112365,1,0,0
28237,4,Bangalore,iOS,8,2.0491291727140784,0,1,0
35125,8,Mumbai,Web,6,1.337381967712458,1,1,0
8895,23,Mumbai,Android,3,0.20942223477892358,0,1,1
44626,15,Kolkata,iOS,3,1.8142125376046834,1,1,0
1814,12,Delhi,iOS,5,0.04447168423633244,1,1,0
44166,20,Bangalore,Android,3,1.3573667711598747,1,0,0
28453,4,Mumbai,iOS,1,1.3225956398456746,1,0,0
2770,14,Kolkata,Android,7,0.060448673184357544,0,1,0
35855,13,Kolkata,iOS,9,1.8363636363636364,1,1,0
13092,17,Kolkata,Android,10,11.454068241469816,0,1,1
26093,13,Mumbai,Web,2,2.638054797290466,1,1,0
44163,11,Mumbai,iOS,8,2.6951666056389603,0,0,0
31075,16,Bangalore,Android,9,3.389137310502781,0,1,0
9714,8,Mumbai,iOS,10,0.30546209238703187,0,0,0
15912,15,Delhi,iOS,7,1.3659541591552924,0,0,0
50777,19,Mumbai,Web,8,1.8774310434075279,1,0,0
36243,5,Delhi,Web,9,1.3748198164023975,1,0,0
8590,6,Delhi,Android,2,0.28908931816652084,0,1,0
31483,14,Bangalore,Web,7,0.7736521354499435,0,1,0
40214,22,Mumbai,Web,3,2.309158771174275,1,0,0
55907,0,Kolkata,Web,10,2.067643034135878,1,0,0
1108,3,Bangalore,iOS,5,0.027573163448138562,1,0,0
39172,1,Kolkata,Android,1,1.1155346717926813,1,1,0
15383,16,Mumbai,iOS,2,0.3867796439706326,1,0,0
28932,15,Bangalore,Android,7,2.8448377581120945,0,0,0
54012,0,Delhi,Android,7,2.2421852297729252,0,1,0
51476,8,Kolkata,Web,4,3.50845147219193,0,0,0
56510,6,Kolkata,Android,10,5.77693723164997,0,0,0
43189,14,Kolkata,Android,3,13.68906497622821,0,0,1
24976,14,Kolkata,Android,9,0.5773462783171521,0,0,0
32313,22,Bangalore,Android,7,2.091320950100317,1,1,0
56469,0,Bangalore,Android,9,22.381688466111772,1,0,1
15181,6,Mumbai,Web,9,0.5131143108226864,1,0,0
54643,13,Mumbai,Android,10,1.4238105164417114,1,1,0
40437,14,Bangalore,Web,6,1.946519688071628,0,0,0
36928,12,Bangalore,Android,10,1.567069806917038,0,0,0
48529,13,Kolkata,iOS,4,1.0516860263522885,1,1,0
45511,13,Bangalore,Android,1,1.1000169192468519,1,0,0
5513,7,Mumbai,iOS,4,1.8675474254742548,1,0,0
27375,7,Kolkata,iOS,3,0.5829056917147541,0,0,0
253,15,Kolkata,iOS,7,0.005982218859358744,1,1,0
35507,15,Bangalore,Web,3,1.5490358607451358,0,1,0
1368,12,Bangalore,iOS,4,0.038592828730216945,1,1,0
15716,6,Kolkata,iOS,7,0.3636700219831077,0,0,0
43823,1,Mumbai,iOS,7,3.814676183844011,0,0,0
22507,22,Bangalore,Web,4,0.502130602592419,0,1,0
13814,6,Mumbai,Web,10,13.758964143426295,1,0,1
58380,2,Kolkata,Web,8,1.5802723113986412,1,1,0
21236,16,Mumbai,iOS,10,1.194510068624142,1,0,0
2212,15,Kolkata,Web,6,0.1044233583533966,0,0,0
6979,11,Kolkata,Android,3,0.18515374207412516,0,0,0
235,9,Bangalore,Web,3,0.018725099601593624,1,0,0
36419,9,Kolkata,Android,1,1.274327303264635,0,0,0
21845,14,Mumbai,iOS,6,3.2054292002934703,0,0,0
8593,10,Kolkata,Android,8,0.45959244798630794,0,0,0
42534,18,Kolkata,iOS,3,1.544949329846355,0,0,0
28294,5,Kolkata,Web,8,1.0029421147779236,1,0,0
2516,6,Bangalore,iOS,3,0.07137386173441888,0,1,0
26561,15,Bangalore,Android,5,0.6041533982349194,0,0,0
51377,21,Mumbai,iOS,4,14.784748201438848,1,0,1
19712,14,Mumbai,iOS,5,3.276595744680851,0,0,0
25721,15,Delhi,iOS,6,0.841903702006481,0,1,0
20940,12,Kolkata,Android,8,0.6745264785465791,1,1,0
52750,12,Delhi,Web,3,1.2858953732143727,0,0,0
56928,2,Delhi,Web,7,1.4748568615767248,0,0,0
51136,2,Bangalore,Android,2,3.300374338453595,0,0,0
13280,12,Delhi,Web,2,0.394815079081936,0,1,0
46787,0,Kolkata,Web,5,4.303440029433407,0,0,0
49434,18,Delhi,iOS,8,3.627650987011081,1,1,0
31123,17,Mumbai,iOS,9,1.2279739593608208,1,0,0
39729,2,Bangalore,Android,2,3.854564858833802,1,0,0
37763,16,Delhi,iOS,3,1.2715242937472642,1,0,0
35472,15,Mumbai,iOS,2,6.581076066790352,1,0,1
3131,23,Kolkata,Web,8,0.07898985821686261,1,0,0
50380,23,Mumbai,iOS,7,1.0209954604409857,1,1,1
34459,15,Delhi,iOS,5,1.2309863180080733,0,0,0
43326,5,Kolkata,iOS,10,1.385545251039335,1,1,0
17261,11,Delhi,Web,6,0.5977628480398948,0,0,0
25054,12,Delhi,Web,7,0.5689177528498115,1,0,0
27069,0,Delhi,iOS,3,0.5729373915252085,0,1,0
57540,19,Bangalore,Android,4,2.190581337800282,1,0,0
14425,9,Kolkata,iOS,2,1.9007774410330742,1,0,0
15285,2,Kolkata,Web,8,0.44994259809837805,1,1,0
56899,20,Kolkata,iOS,8,23.88706968933669,0,0,1
19148,23,Bangalore,Web,8,0.5429284337076103,1,1,1
16895,3,Kolkata,Android,2,0.8817849686847599,1,0,0
55124,18,Bangalore,Web,6,1.3462280508950595,0,1,0
37231,3,Bangalore,iOS,3,1.8762787884896437,0,0,0
35754,12,Kolkata,Web,5,1.2860688464443726,1,1,0
30875,16,Mumbai,Web,2,5.020325203252033,0,0,0
15024,0,Mumbai,iOS,1,0.4463988590444497,0,1,0
31923,10,Delhi,iOS,4,1.1145909709856499,0,1,0
8529,12,Delhi,Web,10,0.1884903533779752,0,1,0
58309,21,Mumbai,iOS,10,4.631741996981492,1,1,0
17909,3,Mumbai,Android,7,7.406534325889164,1,1,1
13759,14,Delhi,iOS,1,3.6680885097307385,1,1,0
46409,16,Delhi,Web,1,1.3733723958333333,1,0,0
726,9,Delhi,Web,2,0.032946088219277546,1,1,0
25165,20,Mumbai,Web,3,1.616664525247334,0,1,0
50730,14,Bangalore,Web,2,1.0911085301329204,0,0,0
7747,22,Bangalore,Android,4,0.17830510034984348,0,1,0
52763,16,Mumbai,Web,8,1.2675491279488782,0,1,0
39318,18,Delhi,Web,8,0.8849824435040965,0,0,0
43974,22,Mumbai,iOS,8,1.8777863182167562,1,0,0
58011,15,Mumbai,iOS,5,1.5530063714729345,1,0,0
24731,22,Delhi,iOS,8,6.858291735995563,0,1,0
59467,0,Delhi,iOS,6,3.0344950757769045,0,1,0
43870,15,Mumbai,iOS,9,2.1726426307448494,1,1,0
45043,23,Kolkata,Web,8,1.0954303363408644,0,1,1
56775,19,Delhi,Web,2,3.9413398125650816,0,1,0
48257,8,Delhi,Android,9,1.0802757941393746,0,1,0
44653,23,Kolkata,iOS,6,2.706078419489728,0,0,0
276,15,Mumbai,Web,3,0.055825242718446605,1,1,0
27769,7,Kolkata,Android,3,0.5664599567541104,0,0,0
6558,6,Mumbai,Android,1,0.4590829541477074,0,1,0
15851,18,Delhi,iOS,1,1.0823489245476272,0,0,0
15989,8,Delhi,Android,8,0.7082299787384834,0,0,0
24826,1,Kolkata,Web,4,1.8042151162790698,0,0,0
3676,10,Delhi,Web,7,0.10588167521170574,1,0,0
1144,8,Bangalore,Web,10,0.024406374671986003,1,1,0
6604,10,Bangalore,Web,6,0.1325598667175174,0,1,0
41150,6,Delhi,Web,4,1.099385519636655,0,0,0
40022,22,Delhi,iOS,7,1.4358698381946686,1,0,0
10910,13,Mumbai,Web,3,0.2593296886142144,1,1,0
50466,6,Delhi,Android,4,15.292727272727273,1,1,1
16702,22,Bangalore,Web,2,0.7618135376756067,1,1,0
31411,4,Kolkata,Android,6,0.9199835983949858,1,0,0
15517,21,Bangalore,Web,6,0.5821858702585074,0,0,0
52299,5,Bangalore,Android,3,34.75016611295681,1,0,1
55175,16,Kolkata,Android,3,1.1818064985970398,0,0,0
31035,19,Mumbai,iOS,3,2.337677011147936,1,1,0
18612,11,Kolkata,Android,1,1.179467680608365,1,0,0
54592,9,Bangalore,Android,4,1.446988973706531,0,0,0
22022,17,Mumbai,Web,6,0.8624916774370422,0,0,0
40372,15,Kolkata,iOS,2,1.1521031904571657,0,0,0
41075,2,Bangalore,Web,7,2.1357633111480867,1,0,0
43658,22,Kolkata,Web,4,2.9737756283631906,1,0,0
49693,19,Mumbai,Web,2,1.1513670064874884,0,0,0
55107,6,Kolkata,Web,1,5.718866749688668,1,0,1
13783,18,Mumbai,Web,6,0.7306122448979592,0,0,0
1494,2,Delhi,iOS,1,0.04408249977870231,1,0,0
27291,17,Mumbai,iOS,10,3.953498478922208,1,0,0
20844,0,Mumbai,iOS,8,0.7922764073130868,0,1,0
20150,22,Kolkata,Android,5,0.49326805385556916,1,1,0
46138,9,Delhi,Android,8,1.0974002806650334,0,1,0
32013,3,Kolkata,iOS,8,3.004222972972973,1,1,0
4098,2,Mumbai,Android,7,0.22901531239521628,1,0,0
603,23,Bangalore,Android,9,0.7291414752116082,1,1,1
3055,21,Bangalore,Android,5,0.24385376756066413,0,0,0
37154,19,Mumbai,iOS,3,1.7652872143298333,0,0,0
10303,19,Delhi,Android,7,0.45815546069014584,0,0,0
41569,3,Kolkata,iOS,8,4.209092750101256,1,1,0
29283,18,Mumbai,iOS,7,0.9557426808968961,1,0,0
21217,2,Delhi,Web,5,2.0537218081502275,0,1,0
6478,16,Delhi,Web,8,0.18945952269536734,1,0,0
26474,4,Delhi,Web,9,0.8883594510251334,0,0,0
59725,2,Delhi,Web,4,47.10173501577287,0,0,1
4882,16,Mumbai,Web,8,0.16817665093527162,1,0,0
7029,21,Delhi,Web,7,0.5340373803373347,1,0,0
47453,23,Kolkata,iOS,2,4.1742610837438425,0,1,1
41155,12,Kolkata,Android,7,1.4835976928622927,1,0,0
49399,7,Mumbai,Android,6,14.946747352496217,0,1,1
19331,22,Delhi,Web,7,2.2806748466257667,1,1,0
49421,10,Bangalore,Android,4,1.2419833132287896,1,1,0
16604,15,Mumbai,Android,5,4.717045454545454,1,0,0
35816,7,Delhi,iOS,5,19.266272189349113,0,1,1
46525,10,Bangalore,iOS,3,1.7082170656484066,0,1,0
28661,20,Delhi,iOS,2,0.9990240161734463,1,1,0
17931,12,Kolkata,iOS,8,0.4189485981308411,0,0,0
18344,8,Mumbai,iOS,6,0.769592213458634,1,1,0
33742,20,Kolkata,Android,5,1.1618345843950142,0,0,0
8455,14,Delhi,Android,2,0.4579429128527325,0,0,0
3445,15,Mumbai,iOS,6,0.11233207251858615,0,1,0
9271,19,Bangalore,Android,2,0.31974478358337644,1,0,0
41672,20,Kolkata,iOS,3,1.2391685747420382,1,0,0
57645,3,Bangalore,iOS,4,2.289953521630318,1,1,0
33442,18,Delhi,Web,2,18.037756202804747,0,1,1
45404,16,Delhi,iOS,1,1.475545156153521,1,0,0
37910,16,Mumbai,Web,5,0.9558267359185114,0,0,0
7316,9,Bangalore,iOS,5,0.40525120478590815,1,0,0
6164,15,Delhi,iOS,10,0.23373274685272258,0,0,0
18969,16,Delhi,iOS,1,0.4469498833674984,0,0,0
46003,14,Delhi,iOS,10,1.127579783322712,1,1,0
31073,15,Mumbai,Android,3,0.7868175833080118,1,0,0
1680,3,Kolkata,Web,1,0.04786870298609528,1,0,0
51495,6,Bangalore,Android,7,1.0436130758162252,0,1,0
56287,15,Bangalore,Android,9,1.163435303844564,0,1,0
760,15,Mumbai,Android,2,0.021004919573268475,0,0,0
11843,10,Mumbai,Android,8,0.23874609414373552,1,0,0
1508,15,Mumbai,Android,1,1.2855924978687128,0,0,0
24414,3,Delhi,iOS,3,0.556178239475123,1,1,0
30401,15,Bangalore,Web,9,1.0960845111047015,0,0,0
11091,1,Mumbai,Web,7,0.5294286123442646,1,1,0
18924,12,Mumbai,iOS,3,17.80244590780809,0,0,1
26956,1,Bangalore,Android,7,0.6940982593469976,1,1,0
25654,5,Bangalore,iOS,5,0.8044528065224208,0,0,0
12033,5,Delhi,iOS,7,0.3269925813201446,1,1,0
8415,16,Delhi,Android,2,3.349920382165605,1,1,0
32703,21,Mumbai,Web,6,3.493910256410256,1,0,0
17333,18,Delhi,Android,8,0.4736568836421271,1,1,0
30052,22,Kolkata,Web,5,2.016371443907676,1,0,0
43471,0,Mumbai,Android,9,36.346989966555185,1,0,1
32474,5,Mumbai,iOS,9,10.908296943231441,0,0,1
24766,6,Kolkata,Web,9,2.3093994778067883,1,1,0
30260,7,Delhi,Web,9,21.87997107736804,0,1,1
49454,6,Delhi,Android,3,1.2179288264991996,1,1,0
15345,3,Kolkata,Android,4,1.1215465575208303,1,1,0
3158,22,Mumbai,Web,1,0.2526602128170254,1,1,0
57440,3,Mumbai,iOS,6,1.828367710720652,1,0,0
5064,13,Kolkata,iOS,2,0.10440806564677746,1,0,0
31526,10,Bangalore,Android,1,0.6558625280852126,1,1,0
51462,14,Kolkata,iOS,3,24.18327067669173,0,1,1
37557,18,Bangalore,Web,5,2.1863429968564443,1,0,0
10491,13,Mumbai,Android,10,0.2504416328479351,0,1,0
4581,21,Mumbai,Android,5,0.18494146144529672,1,1,0
52455,3,Delhi,iOS,9,1.1946842189172568,0,0,0
56270,2,Bangalore,Web,5,4.272913660870225,0,1,0
56692,1,Delhi,Web,3,4.956027624792377,0,1,0
28719,12,Mumbai,Android,8,2.2675878405053296,0,0,0
23737,10,Kolkata,iOS,4,0.5609859853945596,1,0,0
20825,22,Kolkata,iOS,5,0.41934314653349714,0,1,0
56947,7,Bangalore,iOS,4,1.4443289033174393,1,1,0
51778,22,Delhi,Web,8,1.4601393079721383,0,1,0
15612,2,Bangalore,Web,10,0.5508432714699033,1,1,0
46433,2,Kolkata,Android,3,1.2195141168745895,1,1,0
11713,22,Mumbai,Android,6,0.24937724882369222,1,0,0
47508,14,Kolkata,Android,7,1.5009952292186661,0,0,0
58916,2,Mumbai,Android,2,59.9959266802444,1,0,1
15171,9,Kolkata,iOS,6,0.3524860594795539,1,0,0
21352,10,Bangalore,iOS,3,0.7073712108663244,0,0,0
50600,20,Bangalore,iOS,2,1.5561569688768606,1,0,0
15571,8,Mumbai,Web,1,6.137564052029957,0,1,0
48797,12,Kolkata,Web,10,11.980603977412226,1,0,1
53250,17,Bangalore,Web,9,1.332882781407224,1,0,0
20250,18,Bangalore,Web,7,0.6705742102125969,1,0,0
2265,4,Mumbai,iOS,3,0.08619049431104685,0,0,0
39514,22,Mumbai,Web,2,12.098591549295774,1,0,1
5204,0,Kolkata,Android,3,1.1691754661873737,1,0,0
35810,2,Kolkata,Web,1,0.9365029551754799,1,1,0
35569,6,Mumbai,Android,1,1.405222819216182,0,0,0
26336,22,Kolkata,Android,6,1.983879472693032,0,1,0
50283,17,Kolkata,iOS,3,2.47480066935722,0,0,0
956,8,Bangalore,iOS,10,0.048243843358901896,0,0,0
45139,5,Delhi,iOS,5,1.0619691800964592,1,0,0
25516,12,Bangalore,Web,1,0.7498530621840837,1,1,0
53863,6,Bangalore,Web,7,1.607562824568734,1,1,0
31194,8,Kolkata,iOS,3,1.1999538390521618,1,0,0
19584,5,Kolkata,Web,3,0.5090587715422006,0,0,0
17543,22,Bangalore,Web,7,3.2409015333456495,1,0,0
35986,6,Delhi,iOS,5,6.0076794657762935,1,1,1
26585,21,Kolkata,Android,10,0.7298558682223747,1,0,0
43909,9,Kolkata,Android,6,2.6195561388855744,0,1,0
40169,11,Mumbai,Android,5,1.0764262936463274,0,1,0
33232,3,Mumbai,Android,8,1.3640356277962484,0,1,0
22544,2,Bangalore,Web,8,0.6977838306301845,0,0,0
19199,13,Mumbai,iOS,8,0.5146771037181996,1,0,0
17073,16,Bangalore,iOS,6,0.6024134645919339,1,1,0
2727,15,Mumbai,Web,2,0.13231441048034934,1,1,0
51787,10,Bangalore,Web,5,1.3574929880206559,0,1,0
21867,9,Delhi,iOS,7,1.7657461240310077,0,0,0
11291,16,Bangalore,iOS,1,0.24499316510078764,1,0,0
17417,16,Delhi,Android,8,0.7106659050106088,0,1,0
